DiagonalNonZeros,DiagonalSign,AvgDiagonalDistance,AbsoluteTrace,OneNorm,Trace,AvgNonzerosPerRow,ColumnDiagonalDominance,NonZeroPatternSymmetry,AbsoluteNonZeroSum,InfinityNorm,SymmetricFrobeniusNorm,upperBandwidth,Dimension,Symmetricity,MinNonZeroPerRow,DiagonalAverage,SymmeticInfinityNorm,DiagonalMean,FrobeniusNorn,RowVariance,AntiSymmetricFrobeniusNorm,lowerBandwidth,npoints,nnz,MaxNonZeroPerRow,ColumnVariance,solver,class
9801,2,?,22869,3,27721.5,1,1,1,19602,3,8264.93,0,9801,1,1,0.007142,3,2.82844,6198.7,0.365432,0,0,30,9801,1,0.000408,37052868,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,89565283,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,45869638,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,45869637,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,89269802,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,89269803,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,89269804,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,30870721,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,30870720,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,64278029,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,44526267,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,95762352,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,49834419,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,49834418,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,11256943,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,11256941,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,11256944,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,17887723,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,53362206,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,75830644,bad
3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.016572,9,2.31556,5120.83,1.08657,0,310,30,10036.4,1,0.002762,95762353,bad
